"Path","Hash","Size","Reason","ChunkOffset","DataOffset"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_09\256_cliff04.nif","0xB378FE00","288952","missing","20560578715","20560578983"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_09\256_cliff05.nif","0xB3798A61","206460","missing","20560867935","20560868203"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_09\256_cliff06.nif","0xB37A16C2","35306","missing","20561074663","20561074931"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_09\256_cliff07.nif","0xB37AA323","108282","missing","20561110237","20561110505"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_09\256_cliff08.nif","0xB37B2F84","127830","missing","20561218787","20561219055"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_09\256_cliff09.nif","0xB37BBBE5","331086","missing","20561346885","20561347153"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_09\256_cliff10.nif","0xB388E4FD","258510","missing","20561678239","20561678507"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_09\256_cliff11.nif","0xB389715E","385950","missing","20561937017","20561937285"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_09\256_cliff_hole_01.nif","0xD14D5EE3","244722","missing","20562323235","20562323503"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_09\256_cliff_hole_02.nif","0xD14DEB44","315344","missing","20562568225","20562568493"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_09\256_cliff_hole_03.nif","0xD14E77A5","333056","missing","20562883837","20562884105"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_09\256_cliff_hole_05.nif","0xD14F9067","206486","missing","20563217161","20563217429"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_09\256_cliff_hole_06.nif","0xD1501CC8","35332","missing","20563423915","20563424183"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_09\256_cliff_sub_01 - default_basecolor.dds","0xE3D85EAE","2796344","missing","20563459515","20563459783"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_09\256_cliff_sub_01-default_basecolor.dds","0xB6D41ECE","2796344","missing","20566256127","20566256395"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_09\256_cliff_test.nif","0xB6259A1B","244815","missing","20569052739","20569053007"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_10\256_cliff01.nif","0x0229A2F5","123626","missing","20569297822","20569298090"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_10\256_cliff01_d.dds","0x320C0B96","2796344","missing","20569421716","20569421984"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_10\256_cliff02.nif","0x022A2F56","158502","missing","20572218328","20572218596"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_10\256_cliff02_d.dds","0x34613437","2796344","missing","20572377098","20572377366"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_10\256_cliff03.nif","0x022ABBB7","167358","missing","20575173710","20575173978"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_10\256_cliff04.nif","0x022B4818","288952","missing","20575341336","20575341604"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_10\256_cliff05.nif","0x022BD479","206460","missing","20575630556","20575630824"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_10\256_cliff06.nif","0x022C60DA","35306","missing","20575837284","20575837552"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_10\256_cliff07.nif","0x022CED3B","108282","missing","20575872858","20575873126"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_10\256_cliff08.nif","0x022D799C","127830","missing","20575981408","20575981676"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_10\256_cliff09.nif","0x022E05FD","331086","missing","20576109506","20576109774"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_10\256_cliff10.nif","0x023B2F15","258510","missing","20576440860","20576441128"
